0.Toy_Story_(1995)	6.Twelve_Monkeys_(1995)	236.Jerry_Maguire_(1996)	99.Fargo_(1996)	180.Return_of_the_Jedi_(1983)	221.Star_Trek:_First_Contact_(1996)	49.Star_Wars_(1977)	275.Leaving_Las_Vegas_(1995)	126.Godfather,_The_(1972)	116.Rock,_The_(1996)	14.Mr._Holland's_Opus_(1995)
1.GoldenEye_(1995)	225.Die_Hard_2_(1990)	549.Die_Hard:_With_a_Vengeance_(1995)	678.Conan_the_Barbarian_(1981)	565.Clear_and_Present_Danger_(1994)	232.Under_Siege_(1992)	384.True_Lies_(1994)	402.Batman_(1989)	469.Tombstone_(1993)	160.Top_Gun_(1986)	67.Crow,_The_(1994)
2.Four_Rooms_(1995)	1046.Multiplicity_(1996)	411.Very_Brady_Sequel,_A_(1996)	410.Nutty_Professor,_The_(1996)	409.Kingpin_(1996)	121.Cable_Guy,_The_(1996)	289.Fierce_Creatures_(1997)	925.Down_Periscope_(1996)	1027.Grumpier_Old_Men_(1995)	819.Space_Jam_(1996)	368.Black_Sheep_(1996)
3.Get_Shorty_(1995)	683.In_the_Line_of_Fire_(1993)	187.Full_Metal_Jacket_(1987)	215.When_Harry_Met_Sally..._(1989)	201.Groundhog_Day_(1993)	238.Sneakers_(1992)	654.Stand_by_Me_(1986)	731.Dave_(1993)	207.Young_Frankenstein_(1974)	567.Speed_(1994)	96.Dances_with_Wolves_(1990)
4.Copycat_(1995)	43.Dolores_Claiborne_(1994)	217.Cape_Fear_(1991)	671.Candyman_(1992)	440.Amityville_Horror,_The_(1979)	558.Interview_with_the_Vampire_(1994)	218.Nightmare_on_Elm_Street,_A_(1984)	446.Carrie_(1976)	580.Kalifornia_(1993)	442.Birds,_The_(1963)	971.Passion_Fish_(1992)
5.Shanghai_Triad_(Yao_a_yao_yao_dao_waipo_qiao)_(1995)	1510.Children_of_the_Revolution_(1996)	1128.Chungking_Express_(1994)	112.Horseman_on_the_Roof,_The_(Hussard_sur_le_toit,_Le)_(1995)	1172.Bliss_(1997)	1537.All_Over_Me_(1997)	1379.Hollow_Reed_(1996)	1173.Caught_(1996)	1380.Losing_Chase_(1996)	1341.Convent,_The_(Convento,_O)_(1995)	1197.Purple_Noon_(1960)
6.Twelve_Monkeys_(1995)	0.Toy_Story_(1995)	221.Star_Trek:_First_Contact_(1996)	180.Return_of_the_Jedi_(1983)	99.Fargo_(1996)	126.Godfather,_The_(1972)	49.Star_Wars_(1977)	116.Rock,_The_(1996)	236.Jerry_Maguire_(1996)	120.Independence_Day_(ID4)_(1996)	275.Leaving_Las_Vegas_(1995)
7.Babe_(1995)	201.Groundhog_Day_(1993)	237.Raising_Arizona_(1987)	68.Forrest_Gump_(1994)	215.When_Harry_Met_Sally..._(1989)	152.Fish_Called_Wanda,_A_(1988)	654.Stand_by_Me_(1986)	27.Apollo_13_(1995)	86.Searching_for_Bobby_Fischer_(1993)	96.Dances_with_Wolves_(1990)	203.Back_to_the_Future_(1985)
8.Dead_Man_Walking_(1995)	275.Leaving_Las_Vegas_(1995)	236.Jerry_Maguire_(1996)	507.People_vs._Larry_Flynt,_The_(1996)	99.Fargo_(1996)	0.Toy_Story_(1995)	274.Sense_and_Sensibility_(1995)	126.Godfather,_The_(1972)	6.Twelve_Monkeys_(1995)	14.Mr._Holland's_Opus_(1995)	49.Star_Wars_(1977)
9.Richard_III_(1995)	223.Ridicule_(1996)	514.Boot,_Das_(1981)	613.Giant_(1956)	407.Close_Shave,_A_(1995)	918.City_of_Lost_Children,_The_(1995)	19.Angels_and_Insects_(1995)	1017.Tie_Me_Up!_Tie_Me_Down!_(1990)	428.Day_the_Earth_Stood_Still,_The_(1951)	629.Great_Race,_The_(1965)	189.Henry_V_(1989)
10.Seven_(Se7en)_(1995)	21.Braveheart_(1995)	173.Raiders_of_the_Lost_Ark_(1981)	194.Terminator,_The_(1984)	11.Usual_Suspects,_The_(1995)	175.Aliens_(1986)	171.Empire_Strikes_Back,_The_(1980)	264.Hunt_for_Red_October,_The_(1990)	181.GoodFellas_(1990)	78.Fugitive,_The_(1993)	172.Princess_Bride,_The_(1987)
11.Usual_Suspects,_The_(1995)	317.Schindler's_List_(1993)	356.One_Flew_Over_the_Cuckoo's_Nest_(1975)	55.Pulp_Fiction_(1994)	78.Fugitive,_The_(1993)	172.Princess_Bride,_The_(1987)	21.Braveheart_(1995)	97.Silence_of_the_Lambs,_The_(1991)	171.Empire_Strikes_Back,_The_(1980)	173.Raiders_of_the_Lost_Ark_(1981)	167.Monty_Python_and_the_Holy_Grail_(1974)
12.Mighty_Aphrodite_(1995)	24.Birdcage,_The_(1996)	136.Big_Night_(1996)	110.Truth_About_Cats_&_Dogs,_The_(1996)	507.People_vs._Larry_Flynt,_The_(1996)	13.Postino,_Il_(1994)	474.Trainspotting_(1996)	275.Leaving_Las_Vegas_(1995)	8.Dead_Man_Walking_(1995)	150.Willy_Wonka_and_the_Chocolate_Factory_(1971)	234.Mars_Attacks!_(1996)
13.Postino,_Il_(1994)	274.Sense_and_Sensibility_(1995)	282.Emma_(1996)	284.Secrets_&_Lies_(1996)	12.Mighty_Aphrodite_(1995)	136.Big_Night_(1996)	8.Dead_Man_Walking_(1995)	123.Lone_Star_(1996)	275.Leaving_Las_Vegas_(1995)	474.Trainspotting_(1996)	844.That_Thing_You_Do!_(1996)
14.Mr._Holland's_Opus_(1995)	110.Truth_About_Cats_&_Dogs,_The_(1996)	236.Jerry_Maguire_(1996)	24.Birdcage,_The_(1996)	741.Ransom_(1996)	120.Independence_Day_(ID4)_(1996)	0.Toy_Story_(1995)	116.Rock,_The_(1996)	150.Willy_Wonka_and_the_Chocolate_Factory_(1971)	281.Time_to_Kill,_A_(1996)	124.Phenomenon_(1996)
15.French_Twist_(Gazon_maudit)_(1995)	1141.When_We_Were_Kings_(1996)	1225.Night_Falls_on_Manhattan_(1997)	1114.Twelfth_Night_(1996)	220.Breaking_the_Waves_(1996)	60.Three_Colors:_White_(1994)	18.Antonia's_Line_(1995)	1017.Tie_Me_Up!_Tie_Me_Down!_(1990)	531.Kama_Sutra:_A_Tale_of_Love_(1996)	935.Brassed_Off_(1996)	1597.City_of_Industry_(1997)
16.From_Dusk_Till_Dawn_(1996)	52.Natural_Born_Killers_(1994)	216.Bram_Stoker's_Dracula_(1992)	183.Army_of_Darkness_(1993)	558.Interview_with_the_Vampire_(1994)	218.Nightmare_on_Elm_Street,_A_(1984)	200.Evil_Dead_II_(1987)	38.Strange_Days_(1995)	163.Abyss,_The_(1989)	446.Carrie_(1976)	217.Cape_Fear_(1991)
17.White_Balloon,_The_(1995)	1359.Sexual_Life_of_the_Belgians,_The_(1994)	1322.Wooden_Man's_Bride,_The_(Wu_Kui)_(1994)	1366.Faust_(1994)	1622.Crmonie,_La_(1995)	1371.Stranger,_The_(1994)	1317.Catwalk_(1995)	1318.Neon_Bible,_The_(1995)	1353.Venice/Venice_(1992)	1342.Lotto_Land_(1995)	1340.Hedd_Wyn_(1992)
18.Antonia's_Line_(1995)	115.Cold_Comfort_Farm_(1995)	220.Breaking_the_Waves_(1996)	223.Ridicule_(1996)	284.Secrets_&_Lies_(1996)	13.Postino,_Il_(1994)	19.Angels_and_Insects_(1995)	44.Eat_Drink_Man_Woman_(1994)	743.Michael_Collins_(1996)	846.Looking_for_Richard_(1996)	241.Kolya_(1996)
19.Angels_and_Insects_(1995)	712.Othello_(1995)	223.Ridicule_(1996)	935.Brassed_Off_(1996)	18.Antonia's_Line_(1995)	9.Richard_III_(1995)	115.Cold_Comfort_Farm_(1995)	386.Age_of_Innocence,_The_(1993)	1621.Paris,_France_(1993)	407.Close_Shave,_A_(1995)	752.Burnt_By_the_Sun_(1994)
